project_key,usability_label,feature_name,chi_square,p_value,rfe_support,rfe_ranking
Hyperledger,is_change_text_num_words_5,has_code,11.33910034602076,0.0007589208063560786,True,1
Hyperledger,is_change_text_num_words_5,has_url,10.039412746939483,0.001532260440689017,True,1
Hyperledger,is_change_text_num_words_5,has_template,1.0324007257729555,0.3095954724913363,False,2
Hyperledger,is_change_text_num_words_5,has_acceptance_criteria,11.944666085550097,0.0005480405224312931,True,1
Hyperledger,is_change_text_num_words_5,if_acceptance_empty_tbd,,,False,2
Hyperledger,is_change_text_num_words_5,has_tbd,5.496816905892776,0.019051121569886437,True,1
Hyperledger,is_change_text_num_words_5,has_please,0.5416061342772944,0.4617678535619669,False,2
Hyperledger,is_change_text_num_words_5,if_description_empty_tbd,,,False,2
Hyperledger,is_change_text_num_words_5,priority,,,False,2
Hyperledger,is_change_text_num_words_5,dominant_topic,0.18567994700744606,0.6665367491391068,True,1
Hyperledger,is_change_text_num_words_10,has_code,14.369426751592357,0.00015022169598670688,True,1
Hyperledger,is_change_text_num_words_10,has_url,8.575546612238048,0.003407076587727084,True,1
Hyperledger,is_change_text_num_words_10,has_template,0.7295981224359054,0.3930134836656023,False,2
Hyperledger,is_change_text_num_words_10,has_acceptance_criteria,21.030040527876636,4.521383495255183e-06,True,1
Hyperledger,is_change_text_num_words_10,if_acceptance_empty_tbd,,,False,2
Hyperledger,is_change_text_num_words_10,has_tbd,0.46720954271395543,0.4942737181195296,False,2
Hyperledger,is_change_text_num_words_10,has_please,0.7750438556865581,0.37866120385669666,True,1
Hyperledger,is_change_text_num_words_10,if_description_empty_tbd,,,False,2
Hyperledger,is_change_text_num_words_10,priority,,,False,2
Hyperledger,is_change_text_num_words_10,dominant_topic,0.6103945416080182,0.43463929692694125,True,1
Hyperledger,is_change_text_num_words_15,has_code,17.568527918781726,2.7713722257035223e-05,True,1
Hyperledger,is_change_text_num_words_15,has_url,5.251556704781622,0.021927145876672955,True,1
Hyperledger,is_change_text_num_words_15,has_template,1.5196527673981304,0.2176720474512155,False,2
Hyperledger,is_change_text_num_words_15,has_acceptance_criteria,13.515680286627148,0.00023657835496899353,True,1
Hyperledger,is_change_text_num_words_15,if_acceptance_empty_tbd,,,False,2
Hyperledger,is_change_text_num_words_15,has_tbd,1.0218236495923652,0.31208682459018594,False,2
Hyperledger,is_change_text_num_words_15,has_please,0.7564298254307452,0.38444811414478053,True,1
Hyperledger,is_change_text_num_words_15,if_description_empty_tbd,,,False,2
Hyperledger,is_change_text_num_words_15,priority,,,False,2
Hyperledger,is_change_text_num_words_15,dominant_topic,1.2762977483984637,0.2585885428739616,True,1
Hyperledger,is_change_text_num_words_20,has_code,20.412790697674417,6.2411262476346965e-06,True,1
Hyperledger,is_change_text_num_words_20,has_url,5.540187235465942,0.01858459421255793,True,1
Hyperledger,is_change_text_num_words_20,has_template,0.6012517364634131,0.4381008300833884,False,2
Hyperledger,is_change_text_num_words_20,has_acceptance_criteria,17.610487281418397,2.7108927510692567e-05,True,1
Hyperledger,is_change_text_num_words_20,if_acceptance_empty_tbd,,,False,2
Hyperledger,is_change_text_num_words_20,has_tbd,1.5918355190897011,0.20706408527171583,False,2
Hyperledger,is_change_text_num_words_20,has_please,1.4859390657364466,0.2228476072522889,True,1
Hyperledger,is_change_text_num_words_20,if_description_empty_tbd,,,False,2
Hyperledger,is_change_text_num_words_20,priority,,,False,2
Hyperledger,is_change_text_num_words_20,dominant_topic,1.5468711727922586,0.21359793552571915,True,1
